gender,category,interest,age,product_name,link,image_url
kadın,moda,çanta,18-30,Omuz Askılı Halkalı Çanta,https://www.stradivarius.com/tr/omuz-ask%C4%B1l%C4%B1-halkal%C4%B1-canta-l05557911?colorId=400&xs=13&pelement=452322451,https://static.e-stradivarius.net/assets/public/9923/93eb/771f4c2f99fa/5db14acb0477/05557911400-c/05557911400-c.jpg?ts=1752825932657&w=959&f=auto
kadın,moda,ayakkabı,18-30,Beyaz Spor Ayakkabı,https://www.trendyol.com/adidas/superstar-j-foundation-fu7712-sneaker-unisex-spor-ayakkabi-beyaz-siyah-p-33934086?boutiqueId=61&merchantId=1075186,https://cdn.dsmcdn.com/mnresize/620/920/ty1623/prod/QC/20250114/23/48d3bb2f-813e-35ce-81a1-06795ebfa3a1/1_org_zoom.jpg
kadın,moda,aksesuar,18-30,Kişiye Özel Gümüş Kolye,https://www.trendyol.com/klas-gumus/kisiye-ozel-gold-isimli-gumus-kolye-925-ayar-gumus-ozel-gun-hediyesi-patentli-urun-p-372106082?boutiqueId=61&merchantId=456079,https://cdn.dsmcdn.com/mnresize/620/920/ty1613/prod/QC/20241210/10/1636f726-c5e9-301c-8e20-d173f899ea78/1_org_zoom.jpg
kadın,moda,elbise,30-45,Çiçekli Jakar Elbise,https://www.trendyol.com/mango/cicekli-jakar-can-kollu-elbise-p-987179218?boutiqueId=61&merchantId=104723,https://cdn.dsmcdn.com/mnresize/620/920/ty1753/prod/QC_PREP/20250913/19/f7fda461-7ebc-3634-9d70-d8caff2bd729/1_org_zoom.jpg
kadın,kozmetik,makyaj,18-30,Makyaj Fırça Seti,https://www.trendyol.com/kiko/makyaj-firca-seti-travel-brush-set-p-42040055?boutiqueId=61&merchantId=387700,https://cdn.dsmcdn.com/mnresize/620/920/ty1670/prod/QC/20250424/16/530085ea-798d-32ba-8e52-3d213ffb8ab9/1_org_zoom.jpg
kadın,kozmetik,parfüm,30-45,L'Evidence Parfüm,https://www.yvesrocher.com.tr/product-image-zoom/30137,https://medias.yvesrocher.com.tr/medias/30137-03-102025.jpg?context=bWFzdGVyfGltYWdlc3w4ODI0MjF8aW1hZ2UvanBlZ3xzeXNfbWFzdGVyL2ltYWdlcy9oNzgvaGI1LzEwMTUzOTM3NTAyMjM4LzMwMTM3XzAzXzEwMjAyNS5qcGd8ZDc1NDljOTUxYWU5ZWZhN2FjMjIxMWM0ZjAxZjQ1YTcwYjg0MzNiYzQ4MzNhNjQzOGNjYTI0MjY0ZjcwMjY1Mw&twic=v1/resize=1200/background=white
kadın,kozmetik,cilt bakımı,18-30,Hyaluronik Asit Serum,https://www.sephora.com/product/the-ordinary-hyaluronic-acid-2-b5-hydrating-serum-P427419?skuId=2735132&icid2=products%20grid:p427419:product,https://www.sephora.com/productimages/sku/s2735132-main-zoom.jpg?imwidth=630
kadın,kitap,roman,30-45,Simyacı,https://www.dr.com.tr/kitap/simyaci/edebiyat/roman/dunya-roman/urunno=0000000064552,https://i.dr.com.tr/cache/500x400-0/originals/0000000064552-1.jpg
kadın,teknoloji,akıllı saat,18-30,Akıllı Saat,https://www.hepsiburada.com/apple-watch-se-3-gps-40-mm-yildiz-isigi-aluminyum-kasa-ve-yildiz-isigi-spor-kordon-m-l-p-HBCV0000A11QH4,https://productimages.hepsiburada.net/s/777/48-64/110001198007469.jpg/format:webp
kadın,teknoloji,tablet,30-45,Apple İPad,https://www.hepsiburada.com/apple-ipad-a16-11-128gb-wi-fi-tablet-gumus-md3y4tu-a-p-HBCV0000870EE8,https://productimages.hepsiburada.net/s/777/48-64/110000950995464.jpg/format:webp
kadın,ev dekorasyonu,bitki,18-30,Starliçe Beyaz Cennet Kuşu,https://www.trendyol.com/nilay-flowers/starlice-beyaz-cennet-kusu-2-3-koklu-150-160cm-strelitzia-nicolai-p-287761926?boutiqueId=61&merchantId=1089322,https://cdn.dsmcdn.com/mnresize/620/920/ty1550/product/media/images/ty1550/prod/QC/20240916/21/75a58fb4-34e8-394f-a0ae-20286d126547/1_org_zoom.jpg
kadın,ev dekorasyonu,mum,30-45,Kokulu Bardak Mum,https://www.trendyol.com/madame-coco/repertoire-kokulu-bardak-mum-black-190-gr-p-897636934?boutiqueId=61&merchantId=612,https://cdn.dsmcdn.com/mnresize/620/920/ty1629/prod/QC/20250130/15/18419e4a-7505-3664-a9b3-ef151ff41180/1_org_zoom.jpg
kadın,spor,yoga,18-30,Yoga Matı,https://www.trendyol.com/decathlon/yoga-mati-185-cm-65-cm-4-mm-ultra-kaydirmaz-koyu-yesil-grip-p-894891223?boutiqueId=61&merchantId=167526,https://cdn.dsmcdn.com/mnresize/620/920/ty1629/prod/QC/20250124/18/a5f49e06-92e1-337e-8dbd-ec571b5b7c2a/1_org_zoom.jpg
kadın,spor,fitness,30-45,Direnç Bandı Seti,https://www.trendyol.com/decathlon/domyos-mini-pilates-bandi-seti-x3-5-6-7-kg-kaucuk-p-312927690?boutiqueId=61&merchantId=869844,https://cdn.dsmcdn.com/mnresize/620/920/ty1499/product/media/images/prod/QC/20240823/18/634c1b35-ed1c-37cc-b470-db9b43fbcb2b/1_org_zoom.jpg
kadın,aksesuar,cüzdan,18-30,Kadın Cüzdan,https://www.trendyol.com/stradivarius/timsah-deseni-gorunumlu-cuzdan-p-969743862?boutiqueId=61&merchantId=150331,https://cdn.dsmcdn.com/mnresize/620/920/ty1724/prod/QC_PREP/20250811/18/c3d4bbe1-a1de-3a20-a07a-1f4af7490df7/1_org_zoom.jpg

erkek,moda,tişört,18-30,Kısa Kollu Pamuklu T-Shirt,https://www.trendyol.com/bershka/kisa-kollu-pamuklu-t-shirt-p-896741959?boutiqueId=61&merchantId=104961,https://cdn.dsmcdn.com/mnresize/620/920/ty1630/prod/QC/20250131/10/b30c00b8-0239-361d-bbc0-9600c0e948df/1_org_zoom.jpg
erkek,moda,saat,30-45,Casio Kol Saati,https://www.trendyol.com/casio/mtp-v001gl-9budf-erkek-kol-saati-2-yil-turkiye-tek-distributoru-ersa-saat-garantilidir-p-771329?boutiqueId=675227&merchantId=968,https://cdn.dsmcdn.com/mnresize/620/920/ty1748/prod/QC_ENRICHMENT/20250905/23/fa022bce-4c8e-3329-9ba4-35f72910b2ad/1_org_zoom.jpg
erkek,moda,ayakkabı,18-30,Puma Renkli Spor,https://www.trendyol.com/puma/rs-x-efekt-prm-erkek-rs-x-efekt-prm-39077652-renkli-p-928426133?boutiqueId=61&merchantId=125613,https://cdn.dsmcdn.com/mnresize/620/920/ty1651/prod/QC/20250318/07/d7f9b0af-3658-351a-b014-5597cd756388/1_org_zoom.jpg
erkek,teknoloji,oyun,18-30,Kablosuz Gaming Mouse,https://www.hepsiburada.com/msi-gg-clutch-gm51-lightweight-wireless-gaming-mouse-max-26000-dpi-optik-sensor-7key-with-wheel-rgb-led-mystic-light-kablosuz-oyuncu-faresi-pm-HBC0000476TQC,https://productimages.hepsiburada.net/s/395/48-64/110000419628291.jpg/format:webp
erkek,teknoloji,kulaklık,18-30,Bluetooth Kulaklık,https://www.hepsiburada.com/apple-airpods-4-aktif-gurultu-onleme-ozellikli-mxp93tu-a-pm-HBC0000700VEQ,https://productimages.hepsiburada.net/s/777/48-64/110000773209680.jpg/format:webp
erkek,teknoloji,müzik,30-45,Taşınabilir Hoparlör,https://www.hepsiburada.com/xiaomi-sound-outdoor-30w-ip67-tasinabilir-bluetooth-hoparlor-p-HBCV00006GHFOD,https://productimages.hepsiburada.net/s/777/48-64/110000700766974.jpg/format:webp
erkek,spor,fitness,18-30,Spor Eldiveni,https://www.trendyol.com/decathlon/corength-spor-eldiveni-siyah-p-906177380?boutiqueId=61&merchantId=167526,https://cdn.dsmcdn.com/mnresize/620/920/ty1640/prod/QC/20250220/18/6051dfa1-5dd1-3dec-8fd5-79627dd3c66f/1_org_zoom.jpg
erkek,spor,basketbol,18-30,Spalding Basketbol Topu,https://www.trendyol.com/spalding/tf-150-basketbol-topu-no-7-numara-pompa-havlu-bileklik-p-60397151?boutiqueId=61&merchantId=112699,https://cdn.dsmcdn.com/mnresize/350/-/ty223/product/media/images/20211105/9/166060872/106689624/1/1_org_zoom.jpg
erkek,kitap,kişisel gelişim,18-30,Atomik Alışkanlıklar,https://www.dr.com.tr/kitap/atomik-aliskanliklar/egitim-basvuru/psikoloji-bilimi/urunno=0001983750001,https://i.dr.com.tr/cache/500x400-0/originals/0001983750001-1.jpg
erkek,kitap,roman,30-45,1984,https://www.dr.com.tr/kitap/1984/cizgi-roman/urunno=0002107265001,https://i.dr.com.tr/cache/500x400-0/originals/0002107265001-1.jpg
erkek,araba,temizlik,18-30,Araç İçi Süpürge,https://www.trendyol.com/womidi/ev-arac-ici-supurge-18-000pa-guclu-emis-9-adet-aksesuar-ufleme-fonksiyonlu-tasinabilir-mini-supurge-p-957386751?boutiqueId=61&merchantId=186468,https://cdn.dsmcdn.com/mnresize/620/920/ty1773/prod/QC_ENRICHMENT/20251017/01/5ee3fbeb-62a9-3b39-9e73-0a3c6129d01f/1_org_zoom.jpg
erkek,aksesuar,cüzdan,18-30,Erkek Siyah Cüzdan,https://www.trendyol.com/guess/erkek-a-wallet-p-884172545?boutiqueId=61&merchantId=153503,https://cdn.dsmcdn.com/mnresize/620/920/ty1612/prod/QC/20241213/12/8cb45087-5d22-3df9-a83e-bed9aab27fa8/1_org_zoom.jpg
erkek,aksesuar,kravat,30-45,Lacivert Kravat,https://www.trendyol.com/d-s-damat/lacivert-duz-5-5-cm-kravat-p-734391496?boutiqueId=61&merchantId=159,https://cdn.dsmcdn.com/mnresize/620/920/ty1596/prod/QC/20241104/17/5edf2b89-36c0-3643-a0c3-22ec398dadf5/1_org_zoom.jpg
erkek,ev dekorasyonu,masa lambası,30-45,Siyah Masa Lambası,https://www.trendyol.com/ikea/forsa-siyah-35-cm-calisma-lambasi-p-777426271?boutiqueId=61&merchantId=928993,https://cdn.dsmcdn.com/mnresize/620/920/ty1617/prod/QC/20241229/22/1621894c-3a83-3ac8-9ff1-714ecea426ee/1_org_zoom.jpg
erkek,ev dekorasyonu,poster,18-30,Retro Yeşilçam Posteri,https://www.trendyol.com/genel-markalar/12-parca-yesilcam-temali-retro-ahsap-poster-tablo-seti-p-266546854?boutiqueId=61&merchantId=1013366,https://cdn.dsmcdn.com/mnresize/620/920/ty1545/product/media/images/ty1546/prod/QC/20240915/23/3ca0ea33-7899-3856-8d63-fa581df72c61/1_org_zoom.jpg

çocuk,oyuncak,lego,7-12,Wednesday LEGO Seti,https://www.trendyol.com/lego/wednesday-siyah-yildiz-cicegi-76784-9-cocuklar-icin-cicek-modeli-yapim-seti-358p-p-970051978?boutiqueId=61&merchantId=110234,https://cdn.dsmcdn.com/mnresize/620/920/ty1744/product/media/images/prod/PIM/20250919/17/77190409-d406-4d7c-9f5b-29740974c5fe/1_org_zoom.jpg
çocuk,oyuncak,çizgi film,3-6,Labubu Oyuncak,https://www.trendyol.com/deerpa/lapupu-the-monsters-big-into-energy-exciting-marathon-ticaretjet-have-a-seat-secret-version-p-963263474?boutiqueId=61&merchantId=1089318,https://cdn.dsmcdn.com/mnresize/620/920/ty1742/product/media/images/prod/PIM/20251017/06/4a355cfc-33f4-47b6-85a3-e6e03d316807/1_org_zoom.jpg
